limit,gender,education,marriage,age,behind1,behind2,behind3,behind4,behind5,behind6,billed1,billed2,billed3,billed4,billed5,billed6,paid1,paid2,paid3,paid4,paid5,paid6,default
6071.97,1,2,1,27,0,0,0,0,0,0,96.33,0.0,50.33,47.75,47.75,1924.64,0.0,50.33,47.75,0.0,1924.64,71.43,0
1071.52,2,2,2,22,2,0,0,0,0,0,6.21,71.26,126.08,0.0,212.88,0.0,71.26,126.08,0.0,212.88,0.0,63.51,0
17858.74,2,2,2,36,0,0,0,0,0,0,763.21,753.42,452.72,207.27,208.63,79.54,145.23,178.73,1.0,72.61,111.8,3378.62,0
6429.15,2,2,2,24,0,0,0,0,0,0,286.85,331.07,322.49,399.54,832.93,238.09,71.76,93.79,107.15,832.93,35.72,35.72,1
9643.72,2,1,2,36,0,0,0,0,0,0,596.45,639.63,682.7,726.53,736.39,579.44,64.29,53.58,57.15,29.65,35.72,35.72,0
17858.74,1,1,1,43,0,0,0,0,0,0,4441.9,4531.12,4628.13,4638.38,4313.99,3506.13,163.12,170.98,169.48,152.01,118.62,118.8,0
6429.15,2,3,1,43,0,0,0,0,0,0,52.61,820.39,975.62,475.58,292.67,457.18,820.39,978.37,475.58,321.46,457.18,337.89,0
10000.89,1,1,2,31,0,0,0,0,0,0,0.0,0.0,0.0,28.11,44.04,0.0,0.0,0.0,28.11,44.04,0.0,0.0,1
1785.87,1,2,1,35,1,0,0,0,0,0,0.0,39.93,23.82,0.0,0.0,0.0,39.93,24.04,0.0,0.0,0.0,0.0,0
2143.05,2,2,1,42,0,0,0,0,0,0,2081.04,2068.86,2106.87,619.7,640.66,617.84,114.3,107.15,28.57,35.72,35.72,35.72,0
8215.02,2,1,1,36,0,0,2,0,0,0,31.36,341.71,109.8,130.73,135.37,214.52,341.96,0.0,130.73,135.37,214.52,201.7,1
5714.8,1,1,1,41,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6071.97,2,2,1,45,0,0,0,0,0,0,6058.58,6069.97,6065.86,5821.52,4499.29,4559.09,217.2,226.31,185.91,159.01,164.01,167.05,0
7143.49,1,1,1,37,0,2,0,0,0,0,15.93,4.39,4.39,7.14,4.39,10.0,0.0,4.39,7.14,4.39,10.0,5.39,1
3214.57,2,4,3,46,0,0,0,0,0,0,2759.64,953.34,752.42,729.42,726.03,486.44,297.63,53.36,21.43,35.72,35.72,9.18,0
1071.52,1,2,2,30,4,3,2,2,2,0,1091.6,1064.7,1032.95,1067.49,1054.56,893.15,0.0,0.0,67.86,0.54,36.79,1100.17,0
5357.62,2,1,2,27,0,0,0,0,0,0,48.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.08,0
10358.07,1,2,1,50,0,0,0,0,0,0,3168.6,2829.32,2903.87,3001.45,3090.03,3216.57,123.55,142.87,178.59,142.87,178.59,178.59,0
16787.21,1,2,2,34,0,0,0,0,0,0,8840.18,8770.5,8506.51,8593.87,8220.09,7078.17,322.31,371.46,357.17,892.94,285.74,285.74,0
4643.27,1,1,1,70,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10000.89,1,2,2,27,0,0,0,0,0,0,55.93,102.58,56.15,87.04,56.15,56.15,103.26,56.65,87.29,56.65,56.4,56.4,0
3928.92,1,2,2,29,0,0,0,0,0,0,3749.19,3829.66,3910.85,3998.71,3992.18,3989.75,142.87,142.87,153.59,148.73,160.73,150.01,0
1071.52,1,1,2,31,0,0,0,0,0,0,1014.3,662.56,471.4,472.26,522.19,620.63,74.33,42.72,35.72,71.43,107.15,178.59,0
7143.49,1,1,2,35,0,0,0,0,0,0,265.35,868.83,1437.91,539.44,502.87,745.71,868.83,1438.16,541.44,502.87,745.71,954.23,0
10000.89,1,2,1,39,0,0,0,0,0,0,54.47,263.99,186.95,118.44,106.08,142.08,265.38,186.95,118.44,106.08,142.08,116.37,0
15001.34,1,1,2,42,0,0,0,0,0,0,5565.28,5546.28,4156.98,3820.38,3297.83,3199.07,192.77,202.8,127.76,107.97,108.08,107.58,0
12858.29,2,1,1,31,0,0,0,0,0,0,-0.18,-0.18,-0.18,151.16,113.9,268.27,0.0,0.0,151.33,0.57,269.6,146.62,0
4286.1,1,2,1,43,0,0,0,0,0,0,141.87,100.33,36.47,82.54,138.16,106.44,100.58,36.47,82.9,138.16,106.44,0.0,0
7500.67,1,2,2,26,0,0,0,0,0,0,7383.3,7045.34,5016.16,4381.75,4293.78,4035.11,281.03,178.59,178.73,160.73,141.08,135.73,0
10715.24,2,2,1,34,0,0,0,0,0,0,35.72,35.72,35.72,35.72,71.43,35.72,35.72,35.72,35.72,71.43,35.72,35.72,1
1071.52,2,3,1,43,1,2,2,2,2,2,450.15,468.01,492.37,496.87,483.9,516.65,35.72,42.86,23.07,0.0,46.43,35.72,0
4286.1,1,1,1,51,0,0,2,0,0,0,4489.76,4659.74,4689.03,4593.05,4198.98,4169.37,296.46,160.73,152.16,164.12,153.98,152.87,0
8572.19,2,2,1,31,0,0,0,0,0,0,6.57,0.0,89.29,446.47,26.75,101.04,0.0,89.29,446.47,26.75,101.04,103.58,0
7857.84,1,3,1,39,0,0,0,0,0,0,6748.75,6886.86,7442.27,3143.28,1115.71,570.77,303.6,714.35,178.69,108.83,178.59,35.72,0
12858.29,1,2,1,36,0,0,0,0,0,0,166.84,33.15,192.3,17.82,21.29,83.51,33.18,193.05,17.86,21.32,83.58,94.62,0
357.17,2,3,1,58,0,0,0,0,0,0,270.35,307.1,342.53,349.39,356.67,327.64,41.36,41.08,11.97,12.36,12.0,47.25,0
8572.19,1,1,1,38,0,3,2,0,0,0,226.2,120.01,46.11,97.87,80.04,37.86,0.0,0.36,97.87,80.04,0.0,97.54,0
1785.87,2,1,2,24,0,0,0,0,0,0,457.4,481.83,0.0,0.0,0.0,0.0,268.67,0.0,0.0,0.0,0.0,0.0,1
1785.87,2,2,1,49,0,0,0,0,0,0,1701.9,1753.73,1799.45,683.78,629.52,615.98,79.29,89.29,23.0,22.43,22.93,53.58,0
2857.4,2,2,1,24,0,0,0,0,0,0,52.22,88.29,0.0,17.57,0.0,0.0,53.65,0.0,17.57,0.0,0.0,0.0,0
6071.97,1,1,1,60,0,0,0,0,0,0,6084.79,6376.07,3507.31,3575.6,3415.63,3195.71,417.89,128.58,125.01,125.01,117.87,125.01,1
1785.87,1,3,2,39,0,0,0,0,0,0,1419.88,1453.74,1476.63,1479.56,1470.92,1471.1,71.43,71.43,71.43,57.15,71.43,71.43,1
1785.87,1,2,2,42,0,0,0,0,0,0,1767.84,1806.8,1757.3,1777.41,656.24,685.31,107.15,107.15,107.26,178.59,71.43,53.58,0
8215.02,1,1,2,36,0,0,0,0,0,0,7809.16,7972.43,5712.3,5065.95,7622.39,7953.6,358.39,200.02,384.07,3571.75,458.01,318.24,0
10715.24,2,3,1,34,0,0,0,0,0,0,10030.29,9833.13,9713.44,6907.87,6699.24,6824.5,392.89,428.61,257.17,232.16,220.48,196.45,1
10000.89,2,2,1,29,0,0,0,0,0,0,8347.78,3113.53,3135.49,3089.92,2984.55,3029.13,357.32,109.51,113.26,125.05,108.22,99.62,0
714.35,1,2,3,47,0,0,2,2,0,0,13.93,27.86,13.93,0.0,27.86,0.0,27.86,0.0,0.0,27.86,0.0,0.0,1
8572.19,2,2,1,34,0,0,0,0,0,0,22.36,68.61,740.78,759.85,31.72,12.86,68.61,678.63,93.72,31.72,12.86,12.86,0
3571.75,2,2,1,42,0,0,0,0,0,0,2285.35,2354.39,2417.11,2367.78,2421.39,2399.57,107.15,142.87,107.15,89.29,107.15,89.29,0
12858.29,2,1,2,35,0,0,0,0,0,0,52.68,480.97,628.06,619.84,1346.66,803.29,507.19,629.73,633.66,900.19,357.17,7.71,0
2500.22,1,2,2,32,0,0,0,0,0,0,2547.94,2514.26,4693.7,2279.6,1869.42,1458.56,128.9,90.12,87.19,108.51,72.47,2500.37,1
9643.72,2,2,2,25,0,0,0,0,0,0,1376.02,1410.55,1210.75,1259.83,1328.73,1123.21,71.43,71.43,71.43,86.01,53.58,71.9,0
10358.07,2,2,1,36,0,0,0,0,0,0,26.93,-3.5,-11.04,2.25,8.11,33.79,0.0,0.0,17.86,21.07,37.32,0.0,0
14286.99,2,2,1,34,0,0,0,0,0,0,535.26,920.51,450.79,499.44,120.65,134.65,920.51,53.58,499.44,120.65,71.43,334.07,0
10715.24,2,1,1,59,0,0,2,2,2,2,89.29,89.29,89.29,89.29,89.29,89.29,0.0,0.0,0.0,0.0,0.0,0.0,0
7500.67,2,3,1,44,0,0,0,0,0,0,420.43,480.83,632.41,0.0,201.66,528.37,480.83,632.41,0.0,201.66,528.37,263.45,1
1785.87,2,2,1,55,0,0,2,0,0,0,1356.69,1472.77,1346.58,1006.55,1025.48,1048.95,139.3,0.0,46.43,39.29,39.29,35.72,1
3928.92,2,2,1,39,0,0,0,0,0,0,3325.69,3257.36,3040.84,2874.94,2820.5,2879.83,115.22,108.94,98.76,82.29,85.72,67.33,0
8572.19,2,1,2,29,0,0,0,0,0,0,110.47,82.94,292.38,142.16,0.0,0.0,71.43,72.15,89.29,0.0,0.0,3.04,0
1785.87,2,2,2,24,1,2,0,0,0,0,1745.19,1717.37,1736.37,952.48,929.94,959.01,71.43,79.76,38.68,39.29,50.0,107.15,1
2857.4,2,3,1,28,0,0,0,0,0,0,2282.35,2333.89,2363.46,2096.01,1550.89,1581.11,107.15,88.22,79.58,54.15,71.43,55.58,1
714.35,1,2,2,24,1,2,2,0,0,0,248.67,282.1,272.38,310.46,340.78,353.07,42.86,0.0,42.86,35.72,17.86,17.86,1
4643.27,2,2,2,29,2,2,0,0,0,0,6146.76,5592.96,5193.25,4861.68,4960.91,4554.05,0.0,117.87,89.29,99.22,4643.27,131.76,0
7500.67,2,1,2,29,0,0,0,0,0,0,666.56,222.16,7.11,0.0,358.03,-0.64,222.31,7.11,7.14,358.03,0.0,0.0,0
4643.27,1,2,2,28,0,0,0,0,0,0,3162.75,2665.38,2719.28,2773.39,2834.9,2859.93,96.76,98.22,98.83,105.76,104.05,107.15,0
4643.27,1,1,2,46,0,0,0,0,0,0,3956.28,4106.69,4320.96,1435.02,1483.31,1562.07,214.3,321.46,71.43,71.43,107.15,142.87,1
714.35,2,3,2,22,0,0,0,0,0,0,573.73,533.19,500.47,427.36,423.86,458.97,55.9,71.65,71.83,250.02,71.43,142.87,0
8572.19,1,1,2,30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3571.75,1,1,2,27,0,0,0,0,0,0,104.55,29.68,43.79,11.79,0.0,0.0,29.68,43.79,11.79,0.0,0.0,0.0,1
6429.15,2,4,1,44,0,0,0,0,0,2,5412.55,4783.43,4882.83,4980.37,5125.92,5040.41,223.45,229.81,232.38,386.21,0.0,198.48,0
7500.67,2,3,1,32,0,0,0,0,0,0,50.22,0.0,25.43,36.61,163.73,0.0,0.0,25.43,35.72,142.87,0.0,29.32,0
5714.8,1,1,1,58,1,0,0,0,0,0,0.0,0.0,0.0,0.0,172.02,0.0,0.0,0.0,0.0,172.02,0.0,0.0,0
14644.16,1,2,1,45,0,0,0,0,0,0,21.32,83.08,273.95,62.9,247.52,0.0,83.19,273.95,62.9,247.52,0.0,95.54,0
8572.19,1,3,1,55,0,0,0,0,0,0,8188.37,8311.21,6754.0,6803.5,6936.87,7083.24,312.06,268.1,232.2,232.2,250.06,607.23,0
1785.87,1,2,2,29,0,0,0,0,0,0,829.93,683.35,540.69,501.33,526.9,551.66,59.29,38.04,178.59,178.59,178.59,71.43,0
2143.05,1,2,1,35,0,0,0,0,0,0,793.86,664.24,492.94,287.1,262.17,-5.46,46.15,80.19,5.75,262.17,0.0,726.53,0
7500.67,1,2,2,32,0,0,2,0,0,0,5568.82,5901.49,5765.76,5888.38,6690.92,6646.27,464.33,0.0,202.38,888.87,224.38,231.95,0
7143.49,2,1,2,26,0,0,0,0,0,0,77.83,230.02,139.58,-0.18,37.86,107.01,230.02,139.58,0.18,38.04,107.15,39.57,0
2500.22,1,1,2,28,0,0,0,0,0,0,704.63,604.45,359.89,1181.5,828.22,747.82,285.74,71.43,1071.52,178.59,714.35,892.94,0
7500.67,2,2,1,33,0,0,0,0,0,0,273.42,58.72,80.65,294.35,15.29,126.33,58.72,80.76,393.18,15.29,126.33,0.0,0
2500.22,2,2,1,53,0,0,0,0,0,0,880.26,0.0,500.04,0.0,0.0,0.0,0.0,500.04,0.0,0.0,0.0,0.0,0
1785.87,2,2,1,22,0,0,0,0,0,0,1704.37,1740.12,1704.62,1659.68,527.44,538.8,75.22,78.58,71.43,35.72,25.0,28.57,0
2857.4,2,3,1,30,2,2,2,2,2,2,1452.06,1488.95,1525.81,1536.49,1572.03,1609.36,71.43,71.43,46.43,71.43,67.86,67.86,1
3571.75,2,2,1,42,2,2,0,0,0,0,3269.36,3165.89,3220.61,3025.77,2481.72,2508.3,0.0,159.23,106.19,93.08,96.29,96.26,1
1071.52,1,1,2,36,0,0,0,0,0,0,63.29,343.57,-0.21,-0.21,-0.21,-0.21,344.57,0.0,0.0,0.0,0.0,71.83,0
714.35,1,3,2,33,1,2,2,2,2,2,580.3,560.37,657.81,635.84,698.03,658.7,0.0,107.15,0.0,71.43,0.0,35.72,0
5000.45,1,3,1,58,2,0,0,0,0,0,3535.49,3525.39,3455.77,3368.52,3292.51,3172.35,161.44,144.08,180.37,215.52,114.37,178.59,0
1785.87,1,1,2,29,0,0,0,0,0,0,41.5,1346.62,1165.0,1029.16,588.55,905.4,1347.23,39.11,71.43,357.17,476.9,357.17,0
2143.05,2,1,2,28,0,0,2,2,0,0,740.39,517.4,434.43,317.56,61.54,1438.56,107.72,35.72,0.0,61.54,1438.56,107.15,0
9286.54,2,4,2,30,0,0,0,0,0,0,182.37,10.0,219.95,337.14,196.16,14.18,10.0,220.02,337.14,196.16,14.18,63.93,0
714.35,1,2,2,28,2,2,0,0,0,0,622.52,601.8,613.88,306.63,312.89,428.61,0.0,42.93,35.72,6.25,115.72,0.0,1
6071.97,1,1,2,28,0,0,0,0,0,0,2002.36,2042.29,2087.69,2091.47,1845.56,1824.81,73.26,78.47,69.08,64.04,89.29,71.43,0
6071.97,1,1,2,36,0,0,0,0,0,0,301.21,23.0,270.27,0.0,17.82,20.57,23.0,270.27,0.0,17.82,20.57,0.0,0
8215.02,2,3,2,30,0,0,0,0,0,0,66.9,99.22,169.09,237.24,304.31,352.5,53.58,71.43,71.43,71.43,53.58,71.43,1
1785.87,2,3,1,49,2,0,0,0,0,0,1725.05,1803.27,1835.88,0.0,0.0,0.0,107.15,85.72,0.0,0.0,0.0,0.0,1
5357.62,1,2,1,55,0,0,0,0,0,0,55.0,27.86,0.0,20.72,27.86,0.0,27.86,0.0,20.72,7.14,0.0,0.0,0
2143.05,2,2,2,23,1,2,2,0,0,0,1607.79,1632.22,1395.41,1828.91,1947.32,1998.89,63.36,0.0,459.26,148.8,83.94,117.87,0
6071.97,2,1,2,30,0,0,0,0,0,0,133.33,69.93,212.73,65.58,141.41,45.9,69.93,212.73,65.79,141.41,45.9,0.0,0
1071.52,2,2,2,36,0,0,0,0,0,0,424.9,463.97,502.65,540.44,556.44,577.73,57.15,57.15,57.15,35.72,35.72,35.72,0
10715.24,2,2,2,26,0,0,0,0,0,0,1046.52,678.2,246.2,1763.69,1755.91,1808.95,43.36,71.43,1763.69,53.58,71.43,535.76,0
5357.62,1,1,2,25,0,0,0,0,0,0,1891.31,3397.95,1127.89,931.83,593.77,182.41,2146.12,71.43,71.43,178.59,214.3,321.46,0
2500.22,2,1,2,25,0,0,2,2,2,0,1322.15,1427.98,1395.23,1485.56,1396.59,1439.77,139.3,0.0,125.01,0.0,71.43,64.76,1
714.35,1,1,2,28,1,2,0,0,0,0,379.71,54.0,728.64,714.35,714.35,0.0,0.0,728.64,0.0,0.0,0.0,0.0,0
10358.07,2,2,2,34,0,0,0,0,0,0,2088.79,1492.03,1450.02,1373.02,1337.76,1267.4,71.43,71.43,71.43,71.43,71.43,71.43,0
1785.87,1,1,2,36,0,0,0,0,0,0,1776.94,1744.94,1710.58,1765.84,1736.94,1755.87,75.01,71.43,89.29,86.19,71.43,70.97,0
11786.77,2,1,1,34,0,0,0,0,0,0,770.64,865.29,556.37,3209.25,3071.88,4333.21,178.66,556.44,3209.25,178.59,1785.87,3571.75,0
2857.4,1,2,2,36,2,0,0,0,0,0,2831.61,2803.86,2805.04,2857.97,2722.92,2794.71,110.72,125.01,121.44,107.15,125.01,107.15,0
4643.27,2,3,1,39,0,0,2,0,0,0,3285.36,3547.75,3460.95,3499.96,3577.46,3649.97,317.89,0.0,128.58,135.73,135.73,178.59,1
7500.67,1,2,2,25,0,0,0,0,0,0,496.44,-0.32,-0.32,115.4,4469.68,4460.4,0.0,0.0,115.72,4465.01,178.91,179.05,0
714.35,1,1,2,25,0,0,0,0,0,0,716.21,190.3,658.2,703.96,708.38,692.06,53.58,535.76,71.43,35.72,32.15,35.72,0
14286.99,2,1,2,29,0,0,0,0,0,0,272.24,1387.59,485.26,696.56,136.05,161.16,1396.45,487.65,700.67,140.37,250.77,892.47,0
17858.74,2,4,2,38,0,0,0,0,0,0,80.44,80.9,881.04,1451.06,330.57,309.28,80.9,889.54,1458.24,1101.67,310.56,126.15,0
12858.29,2,2,1,42,0,0,0,0,0,0,1585.14,34.57,35.36,13.93,13.93,110.83,34.57,35.36,13.93,13.93,110.83,0.0,0
1071.52,2,3,1,58,2,2,2,2,2,2,949.37,987.66,996.7,970.02,1044.34,1064.06,64.29,35.72,0.0,89.94,42.33,42.86,1
4643.27,2,2,1,37,1,2,2,2,0,0,2414.93,2357.25,2521.8,2461.08,2513.4,2560.3,0.0,225.02,0.0,96.44,92.87,100.01,1
2857.4,1,1,2,28,0,0,0,0,0,0,307.1,338.14,-9.64,132.05,337.71,148.01,338.14,0.0,141.69,337.71,178.59,103.58,1
4286.1,2,1,2,27,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1785.87,2,1,2,52,0,0,0,0,0,0,116.33,148.8,0.0,0.0,11.36,0.0,35.72,0.0,0.0,11.36,0.0,0.0,0
2143.05,2,1,2,24,0,0,0,0,0,0,803.79,841.04,888.54,766.68,757.85,760.78,50.72,62.51,47.79,27.18,33.04,31.68,0
1071.52,2,1,2,25,0,0,0,0,0,0,942.08,981.62,1008.73,589.27,604.45,630.38,55.36,46.72,46.43,25.0,35.72,71.43,0
8572.19,2,1,2,33,0,0,0,0,0,0,3569.53,3289.72,3042.91,2965.3,2805.82,2803.64,125.01,150.01,128.58,107.15,107.15,107.15,0
5357.62,1,1,2,32,0,0,2,2,2,0,1878.1,2053.61,1989.64,2043.4,2038.9,471.26,228.41,0.0,75.01,7.93,35.72,23.22,1
16072.86,1,2,1,41,0,0,0,0,0,0,38.15,45.75,32.4,31.5,34.57,44.4,45.97,32.54,31.65,34.72,44.61,50.58,0
5357.62,2,1,2,33,0,0,0,0,0,0,2644.27,8.47,50.72,40.75,38.11,40.29,8.47,50.93,40.75,38.11,42.86,41.08,0
8929.37,2,2,2,25,0,0,0,0,0,3,922.33,932.73,980.3,1013.34,168.41,155.66,53.58,56.26,53.58,35.72,0.0,0.0,0
3928.92,2,3,1,63,0,0,0,0,0,0,13.93,13.93,13.93,13.93,27.86,0.0,13.93,13.93,13.93,27.86,0.0,13.93,1
2500.22,2,1,1,35,4,4,3,2,0,0,2751.0,2616.95,2510.05,1644.61,1512.89,1465.35,0.0,71.47,0.0,59.51,53.75,74.26,0
1071.52,1,2,1,35,0,0,0,0,0,0,278.49,95.97,312.96,120.62,71.43,0.0,95.97,313.06,121.08,72.86,0.0,0.0,0
6429.15,1,2,1,35,1,2,0,0,0,0,1145.89,1117.71,1127.6,1191.89,1191.89,0.0,0.0,50.0,78.58,0.0,0.0,0.0,0
9286.54,1,1,1,34,0,0,0,0,0,0,-1.43,-1.43,-1.43,289.92,-0.29,-0.29,0.0,0.0,291.35,0.0,0.0,59.76,0
1785.87,2,2,2,26,1,2,2,0,0,0,1816.84,1838.95,1745.48,1075.63,1054.63,1071.45,61.08,4.86,43.08,71.51,71.61,107.26,0
2857.4,1,2,2,26,0,0,0,0,0,0,12.5,-1.43,2.5,6.43,-7.5,7.86,0.0,17.86,17.86,0.0,29.29,17.86,0
1785.87,1,3,2,38,0,0,0,0,0,0,1792.09,1143.39,1224.18,1381.12,1443.56,727.03,107.15,107.15,178.59,71.43,107.15,42.86,0
14286.99,2,1,2,31,0,0,0,0,0,0,2591.34,306.17,78.22,460.08,267.77,413.0,309.21,78.22,460.08,0.0,163.94,0.0,0
12858.29,2,1,1,48,0,0,0,0,0,0,294.42,383.68,117.87,0.0,45.36,0.0,384.03,117.87,0.0,45.36,0.0,31.75,0
12858.29,1,2,1,31,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4643.27,1,2,2,30,0,2,2,2,0,0,27.86,27.86,13.93,0.0,27.86,0.0,13.93,0.0,0.0,27.86,0.0,0.0,0
1785.87,2,2,2,38,0,0,0,0,0,0,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,0
10715.24,1,2,1,40,0,0,0,0,0,0,567.05,155.26,0.0,78.86,88.4,270.74,155.26,0.0,78.86,88.4,270.74,0.0,0
7857.84,1,1,2,29,1,2,2,2,2,2,1107.67,1079.2,1182.86,1153.17,1225.82,1201.32,0.0,121.44,0.0,92.01,0.0,95.4,1
1785.87,1,3,2,52,0,0,0,0,0,0,1695.83,1762.44,699.92,685.56,685.81,685.74,1052.09,46.43,24.11,24.79,25.15,28.5,0
1785.87,1,1,1,24,0,0,0,0,0,0,1704.94,1679.61,1718.08,1736.3,1766.76,1796.55,62.97,65.72,62.54,61.33,63.33,65.9,0
3214.57,2,2,2,25,0,0,0,0,0,0,3282.22,2562.09,2615.98,2658.24,2717.03,2773.39,114.3,117.87,107.15,107.19,107.15,110.72,0
17858.74,1,1,1,41,2,0,0,0,0,0,20171.69,20460.18,15386.16,15642.47,15972.96,16303.35,708.99,614.34,566.23,607.2,607.2,562.19,1
6429.15,2,1,2,29,0,0,0,0,0,0,1306.08,950.55,962.26,989.55,784.18,0.0,60.08,50.0,55.5,0.0,0.0,0.0,0
1071.52,2,2,1,44,0,2,2,2,2,2,298.13,341.46,330.67,396.32,398.79,387.07,53.58,0.0,71.43,14.0,0.0,71.43,0
8572.19,2,2,2,38,0,0,0,0,0,0,1241.25,1074.13,868.47,133.01,1012.48,402.89,1074.13,868.47,133.01,1012.48,402.89,1116.74,0
